Objeto,Peso (kg),Pre�o Unit�rio (R$),Total (R$)
bottle,0.0001,5.0,0.0005
bottle,0.0001,5.0,0.0005
bottle,0.0001,5.0,0.0005
bottle,0.0001,5.0,0.0005
bottle,0.0001,5.0,0.0005
bottle,0.0001,5.0,0.0005
bottle,0.0001,5.0,0.0005
bottle,0.0001,5.0,0.0005
bottle,0.0001,5.0,0.0005
bottle,0.0001,5.0,0.0005
bottle,0.0001,5.0,0.0005
bottle,0.00592,5.0,0.0296
bottle,0.00339,5.0,0.01695
bottle,0.0001,5.0,0.0005
bottle,0.0001,5.0,0.0005
bottle,0.0001,5.0,0.0005
bottle,0.04042,5.0,0.2021
bottle,0.03824,5.0,0.1912
bottle,0.03715,5.0,0.18575
bottle,0.03943,5.0,0.19715
bottle,0.03951,5.0,0.19755
